galaxy_id,source_file,distance_mpc,r_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,sb_disk_lpc2,sb_bulge_lpc2,v_bar_kms,residual_v2_kms2,quality_flag,data_source,data_mode
D631-7,D631-7_rotmod.dat,7.72,5.84,58.4,3.27,18.25,12.45,0.0,0.01,0.0,22.092193191261025,2922.495,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,6.29,58.5,3.95,17.65,11.93,0.0,0.01,0.0,21.303694515271285,2968.4026000000003,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,6.74,57.7,4.07,17.06,11.48,0.0,0.0,0.0,20.562927807099843,2906.4560000000006,ok,SPARC_Lelli2016,observational_raw_ingestion
D631-7,D631-7_rotmod.dat,7.72,7.19,57.3,3.94,16.47,11.08,0.0,0.0,0.0,19.850120906432785,2889.2626999999993,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,0.1,6.29,4.62,-1.13,1.96,0.0,28.5,0.0,2.262410219213129,34.445600000000006,negative_component_present,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,0.3,13.9,4.62,-2.45,6.31,0.0,27.26,0.0,6.768943787622999,147.39140000000003,negative_component_present,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,0.49,15.6,4.62,-0.64,9.67,0.0,24.99,0.0,9.691155761827378,149.4415,negative_component_present,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,0.69,18.4,4.62,2.49,13.92,0.0,20.86,0.0,14.140951170271396,138.59349999999998,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,0.89,22.5,4.62,1.87,15.16,0.0,13.91,0.0,15.274897708331798,272.9275,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,1.09,26.5,4.62,4.97,16.41,0.0,11.73,0.0,17.146107429967888,408.261,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,1.29,35.3,4.62,9.29,17.34,0.0,10.3,0.0,19.671799612643476,859.1102999999997,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,1.48,40.5,4.62,13.62,18.34,0.0,7.96,0.0,22.844255295369116,1118.39,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,1.68,44.2,4.89,16.26,19.12,0.0,6.72,0.0,25.09904380648793,1323.6780000000003,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,1.88,46.3,4.62,18.16,19.54,0.0,3.97,0.0,26.6757792763398,1432.0927999999997,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,2.08,46.4,4.62,19.64,19.1,0.0,2.84,0.0,27.395977806970134,1402.4204,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,2.27,46.3,4.62,20.17,18.77,0.0,2.16,0.0,27.55252801468497,1384.5481999999995,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,2.37,46.4,6.73,20.59,18.61,0.0,1.86,0.0,27.75392224533318,1382.6798000000001,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO064,DDO064_rotmod.dat,6.8,2.98,46.9,8.65,22.17,17.21,0.0,0.0,0.0,28.065868951450625,1411.9169999999995,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,0.49,13.8,1.6,3.74,12.31,0.0,15.93,0.0,12.865601423952167,24.91629999999998,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,0.99,21.6,0.8,7.46,14.55,0.0,5.52,0.0,16.350966332299752,199.20590000000004,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,1.48,28.9,0.7,10.87,12.95,0.0,1.26,0.0,16.907377088123397,549.3506,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,1.97,34.3,0.5,13.32,11.54,0.0,0.29,0.0,17.623677255328978,865.8959999999998,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,2.47,38.2,0.4,14.77,10.18,0.0,0.08,0.0,17.938375065763342,1137.4547000000002,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,2.96,42.0,0.2,16.2,9.16,0.0,0.02,0.0,18.61036270468687,1417.6544,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,3.46,44.6,0.2,17.6,8.37,0.0,0.01,0.0,19.48889170784219,1609.3431,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,3.95,46.3,0.2,17.91,7.77,0.0,0.0,0.0,19.522832786253126,1762.5489999999995,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,4.44,47.4,0.3,17.48,7.29,0.0,0.0,0.0,18.93923176900267,1888.0654999999997,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,4.94,48.2,0.6,16.93,6.89,0.0,0.0,0.0,18.278320491773854,1989.1430000000003,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,5.43,47.4,0.7,16.28,6.55,0.0,0.0,0.0,17.548244926487662,1938.8190999999997,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO154,DDO154_rotmod.dat,4.04,5.92,45.5,1.3,15.64,6.26,0.0,0.0,0.0,16.8462814888034,1786.4528,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,0.6,16.0,3.53,6.82,12.59,0.0,30.32,0.0,14.318536936433135,50.9795,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,0.73,16.6,4.83,8.12,14.22,0.0,27.69,0.0,16.375066412079065,7.41720000000015,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,0.85,18.6,2.5,9.3,15.27,0.0,27.15,0.0,17.879119105817267,26.2971,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,0.98,20.0,7.58,10.41,17.04,0.0,25.71,0.0,19.968217246414362,1.2703000000000202,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,1.07,21.4,4.03,11.27,18.03,0.0,24.23,0.0,21.26249750146958,5.866199999999878,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,1.54,28.9,2.74,15.22,22.44,0.0,17.21,0.0,27.1146086086449,100.00799999999981,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,2.02,32.9,2.65,18.74,24.92,0.0,11.77,0.0,31.18002565746218,110.2159999999999,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,2.49,35.2,2.88,21.52,25.85,0.0,7.54,0.0,33.63529247680181,107.70709999999985,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,2.96,37.6,3.05,23.28,26.01,0.0,5.12,0.0,34.90671138907245,195.28150000000005,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,3.43,40.6,3.68,24.59,25.36,0.0,3.64,0.0,35.32418010371932,400.5623000000003,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,3.9,42.7,3.25,25.62,25.01,0.0,2.55,0.0,35.80341464162322,541.4055000000003,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,4.37,45.5,2.99,26.35,24.48,0.0,1.74,0.0,35.96655251758222,776.6570999999999,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,4.86,48.9,1.96,27.08,23.7,0.0,1.09,0.0,35.986336295877635,1096.1936,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,5.34,51.5,1.53,27.81,22.69,0.0,0.64,0.0,35.891951744088814,1364.0177999999999,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,5.81,53.0,1.86,28.4,21.59,0.0,0.46,0.0,35.67475437897225,1536.3119000000002,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,6.28,55.0,1.48,28.98,20.86,0.0,0.36,0.0,35.70686208559918,1750.02,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,6.75,57.6,0.99,29.57,20.11,0.0,0.24,0.0,35.760271251767655,2038.963,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,7.22,59.7,1.19,30.3,19.38,0.0,0.16,0.0,35.96768549684563,2270.4156000000003,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,7.69,60.5,1.26,31.18,18.7,0.0,0.11,0.0,36.35770069737634,2338.3676000000005,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,8.16,61.8,1.33,32.06,18.06,0.0,0.07,0.0,36.796836820574676,2465.2327999999998,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,8.64,62.9,1.35,32.64,17.47,0.0,0.05,0.0,37.021216889778216,2585.8395,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,9.11,63.0,2.09,33.23,16.94,0.0,0.03,0.0,37.29874662773536,2577.8035,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,9.58,64.5,2.38,33.38,16.44,0.0,0.02,0.0,37.20884303495609,2775.7519999999995,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,10.05,65.6,1.08,33.38,15.98,0.0,0.02,0.0,37.007901858927376,2933.775199999999,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,10.52,67.5,3.22,32.79,15.57,0.0,0.01,0.0,36.29888428037424,3238.641,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,10.99,66.8,2.37,32.06,15.18,0.0,0.01,0.0,35.472186287287116,3203.964,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,11.46,66.8,0.95,31.18,14.81,0.0,0.0,0.0,34.518524012477705,3270.7115,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,11.94,66.6,0.96,30.3,14.47,0.0,0.0,0.0,33.57783346197309,3308.0890999999992,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,12.41,66.8,0.99,29.42,14.16,0.0,0.0,0.0,32.650298620380184,3396.1979999999994,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,12.9,66.3,0.74,28.69,13.86,0.0,0.0,0.0,31.86244968611171,3380.4742999999994,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO161,DDO161_rotmod.dat,7.5,13.37,66.1,1.31,27.81,13.59,0.0,0.0,0.0,30.952935240458213,3411.125799999999,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO168,DDO168_rotmod.dat,4.25,0.41,15.0,4.1,10.41,8.28,0.0,20.43,0.0,13.301372109673498,48.073499999999996,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO168,DDO168_rotmod.dat,4.25,0.82,23.4,1.3,18.08,12.66,0.0,14.59,0.0,22.071746645881923,60.398000000000025,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO168,DDO168_rotmod.dat,4.25,1.24,29.2,1.5,20.09,15.11,0.0,8.79,0.0,25.138022993067693,220.71979999999996,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO168,DDO168_rotmod.dat,4.25,1.64,36.2,1.1,20.2,15.99,0.0,5.9,0.0,25.762765767673315,646.7199000000003,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO168,DDO168_rotmod.dat,4.25,2.06,44.0,1.1,22.0,16.89,0.0,4.09,0.0,27.735754902291735,1166.7278999999999,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO168,DDO168_rotmod.dat,4.25,2.47,52.1,1.2,22.63,17.03,0.0,2.87,0.0,28.32203735609428,1912.2722000000003,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO168,DDO168_rotmod.dat,4.25,2.89,52.9,1.7,22.95,16.99,0.0,2.09,0.0,28.554554803043242,1983.0474,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO168,DDO168_rotmod.dat,4.25,3.3,54.8,2.2,22.74,17.19,0.0,1.56,0.0,28.506204587773517,2190.4362999999994,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO168,DDO168_rotmod.dat,4.25,3.71,55.0,2.5,22.74,17.16,0.0,0.82,0.0,28.488123841348344,2213.4268,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO168,DDO168_rotmod.dat,4.25,4.12,52.0,2.7,22.74,16.37,0.0,0.0,0.0,28.01935937882949,1918.9155,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO170,DDO170_rotmod.dat,15.4,1.87,27.7,3.0,8.68,18.19,0.0,9.38,0.0,20.154862936770375,361.07149999999984,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO170,DDO170_rotmod.dat,15.4,3.36,42.4,1.5,15.07,19.75,0.0,3.58,0.0,24.84285410334328,1180.5926,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO170,DDO170_rotmod.dat,15.4,4.86,52.5,1.0,20.59,19.94,0.0,2.02,0.0,28.66272317837229,1934.6983,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO170,DDO170_rotmod.dat,15.4,6.35,55.6,1.0,24.61,19.17,0.0,0.91,0.0,31.195207965326983,2118.219,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO170,DDO170_rotmod.dat,15.4,7.85,58.6,1.1,26.94,18.71,0.0,0.47,0.0,32.79981249946408,2358.1322999999998,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO170,DDO170_rotmod.dat,15.4,9.34,59.0,1.2,27.6,17.41,0.0,0.18,0.0,32.63231680405178,2416.1318999999994,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO170,DDO170_rotmod.dat,15.4,10.83,60.0,1.3,26.77,16.05,0.0,0.09,0.0,31.212744192076414,2625.7646,ok,SPARC_Lelli2016,observational_raw_ingestion
DDO170,DDO170_rotmod.dat,15.4,12.33,62.2,1.0,24.9,15.01,0.0,0.0,0.0,29.074217100379503,3023.5299000000005,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,0.41,33.2,11.6,2.21,28.95,0.0,455.28,0.0,29.034231520741166,259.2534000000004,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,0.98,50.4,11.8,4.41,47.6,0.0,284.5,0.0,47.803850263341765,254.9518999999991,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,1.78,53.9,9.75,6.75,62.09,0.0,213.32,0.0,62.455829191517424,-995.5205999999998,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,2.69,67.6,5.1,8.55,75.48,0.0,152.2,0.0,75.96270729772604,-1200.572900000002,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,3.36,81.7,5.06,9.18,82.21,0.0,142.61,0.0,82.7209556279423,-167.86649999999918,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,4.39,102.0,5.35,9.29,86.87,0.0,105.73,0.0,87.36533065238179,2771.298999999999,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,5.65,116.0,6.44,9.5,92.23,0.0,92.69,0.0,92.71797506416974,4859.3771,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,6.34,132.0,9.1,10.22,96.19,0.0,89.82,0.0,96.73140389759676,8067.035500000002,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,6.89,137.0,5.25,11.87,100.53,0.0,87.61,0.0,101.22834484471234,8521.8222,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,8.34,154.0,4.2,17.23,113.81,0.0,78.45,0.0,115.10685904845114,10466.411000000002,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,10.04,163.0,3.28,24.23,128.72,0.0,58.05,0.0,130.9806523880531,9413.0687,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,11.65,170.0,2.41,30.75,133.41,0.0,39.79,0.0,136.90796397580382,10156.209400000003,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,13.36,175.0,2.18,36.2,132.99,0.0,23.18,0.0,137.8288072211321,11628.2199,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,15.06,177.0,2.23,39.42,128.51,0.0,15.89,0.0,134.42007476563907,13260.2435,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO079-G014,ESO079-G014_rotmod.dat,28.7,16.67,178.0,2.03,40.49,124.23,0.0,10.92,0.0,130.66190339957552,14611.466999999993,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,0.25,20.9,3.4,-0.22,17.33,0.0,276.94,0.0,17.33139636613276,136.43270000000007,negative_component_present,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,0.83,40.0,3.29,-1.8,34.96,0.0,168.99,0.0,35.00630800298712,374.5583999999999,negative_component_present,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,1.38,51.5,2.96,-1.55,51.34,0.0,141.01,0.0,51.36339260601854,14.051899999999478,negative_component_present,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,1.85,67.9,3.45,5.01,61.73,0.0,81.24,0.0,61.93297183245771,774.7170000000006,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,2.68,80.2,2.93,12.54,60.49,0.0,46.01,0.0,61.776141834854016,2615.7483,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,3.19,83.3,3.08,16.68,63.17,0.0,41.4,0.0,65.33506944972203,2670.2186999999985,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,3.68,91.4,2.83,20.19,65.14,0.0,30.23,0.0,68.19718249312064,3703.104300000001,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,4.13,102.0,5.4,22.31,66.32,0.0,24.2,0.0,69.97198367918405,5507.921500000001,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,5.23,105.0,4.21,25.63,64.52,0.0,9.48,0.0,69.42425584765024,6205.272700000001,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,6.05,109.0,2.1,27.28,60.09,0.0,3.57,0.0,65.99247305564477,7525.9935,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,6.81,108.0,2.1,28.58,55.74,0.0,2.78,0.0,62.639955300111765,7740.236,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,7.56,109.0,2.1,30.7,53.61,0.0,2.04,0.0,61.778006604292436,8064.4779,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,8.32,110.0,2.1,33.83,51.18,0.0,1.21,0.0,61.35031621760397,8336.1387,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,9.09,111.0,2.33,35.49,49.08,0.0,0.72,0.0,60.56720647347044,8652.6135,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO116-G012,ESO116-G012_rotmod.dat,13.0,9.86,112.0,4.74,33.74,46.34,0.0,0.0,0.0,57.32175154337139,9258.2168,ok,SPARC_Lelli2016,observational_raw_ingestion
ESO444-G084,ESO444-G084_rotmod.dat,4.83,0.26,18.3,1.8,4.59,8.31,0.0,31.29,0.0,9.493376638478008,244.76580000000004,ok,SPARC_Lelli2016,observational_raw_ingestion
