galaxy_id,canonical_classification,prior_scenario,grid_scope,model_name,prior_weighted_mean_rmse,prior_weighted_median_rmse,best_plausible_rmse,fraction_of_prior_weight_where_model_wins,fraction_of_prior_weight_where_tdf_beats_nfw,fraction_of_prior_weight_where_tdf_beats_mond,total_prior_weight,n_cells_in_scope
NGC2403,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,tdf_5knot,3.5103784495453807,3.437358703282382,3.3571324261373414,1.0,1.0,1.0,6.8999999999999995,9
NGC2403,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,nfw_refit_scaled,10.347888790795105,9.756511070099725,5.0053946795216335,0.0,0.0,1.0,6.8999999999999995,9
NGC2403,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,mond_fit_a0_scaled,14.205898488855231,14.24104906222355,8.10505139277264,0.0,0.0,0.0,6.8999999999999995,9
NGC2403,robust_tdf_success,canonical_delta_prior,all_grid,tdf_3knot,8.59613092592375,8.658875500476361,4.979255672682997,0.0,1.0,1.0,2.8676360440667232,20
NGC2403,robust_tdf_success,canonical_delta_prior,all_grid,tdf_5knot,3.479235713258809,3.437358703282382,3.3571324261373414,1.0,1.0,1.0,2.8676360440667232,20
NGC2403,robust_tdf_success,canonical_delta_prior,all_grid,nfw_refit_scaled,9.944111344616886,9.756511070099725,5.0053946795216335,0.0,0.0,1.0,2.8676360440667232,20
NGC2403,robust_tdf_success,canonical_delta_prior,all_grid,mond_fit_a0_scaled,13.963297757040282,14.24104906222355,8.10505139277264,0.0,0.0,0.0,2.8676360440667232,20
NGC3198,robust_tdf_success,uniform_plausible_band,plausible_only,tdf_3knot,40.796681573499264,10.447553889702954,7.88076746628977,0.0,0.6666666666666666,0.6666666666666666,9.0,9
NGC3198,robust_tdf_success,uniform_plausible_band,plausible_only,tdf_5knot,8.360703633115715,8.238204401776544,6.818723424989798,1.0,1.0,1.0,9.0,9
NGC3198,robust_tdf_success,uniform_plausible_band,plausible_only,nfw_refit_scaled,13.28263628305205,11.997968710477918,8.424563972386851,0.0,0.0,0.6666666666666666,9.0,9
NGC3198,robust_tdf_success,uniform_plausible_band,plausible_only,mond_fit_a0_scaled,14.85714799640423,14.338584781220934,8.392639416748004,0.0,0.3333333333333333,0.0,9.0,9
NGC3198,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,tdf_3knot,40.796681573499264,10.447553889702954,7.88076746628977,0.0,0.6666666666666666,0.6666666666666666,6.8999999999999995,9
NGC3198,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,tdf_5knot,8.360703633115715,8.238204401776544,6.818723424989798,1.0,1.0,1.0,6.8999999999999995,9
NGC3198,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,nfw_refit_scaled,13.282636283052051,11.997968710477918,8.424563972386851,0.0,0.0,0.6666666666666666,6.8999999999999995,9
NGC3198,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,mond_fit_a0_scaled,14.857147996404228,14.338584781220934,8.392639416748004,0.0,0.3333333333333333,0.0,6.8999999999999995,9
NGC3198,robust_tdf_success,canonical_delta_prior,all_grid,tdf_3knot,27.80121679130972,10.447553889702954,7.88076746628977,0.0,0.8082657454740307,0.8082657454740307,2.8676360440667232,20
NGC3198,robust_tdf_success,canonical_delta_prior,all_grid,tdf_5knot,8.256044120867944,8.238204401776544,6.818723424989798,1.0,1.0,1.0,2.8676360440667232,20
NGC3198,robust_tdf_success,canonical_delta_prior,all_grid,nfw_refit_scaled,12.628795892996171,11.997968710477918,8.424563972386851,0.0,0.0,0.7823173358315979,2.8676360440667232,20
NGC3198,robust_tdf_success,canonical_delta_prior,all_grid,mond_fit_a0_scaled,14.457478043488587,14.338584781220934,8.392639416748004,0.0,0.21768266416840198,0.0,2.8676360440667232,20
NGC6503,robust_tdf_success,uniform_plausible_band,plausible_only,tdf_3knot,9.359551299579515,9.32883224915561,4.782128122652515,0.0,0.6666666666666666,1.0,9.0,9
NGC6503,robust_tdf_success,uniform_plausible_band,plausible_only,tdf_5knot,4.94809931746867,4.903793147965803,3.2074218859365513,1.0,1.0,1.0,9.0,9
NGC6503,robust_tdf_success,uniform_plausible_band,plausible_only,nfw_refit_scaled,10.319980573335505,10.143783127060708,4.64861505261118,0.0,0.0,1.0,9.0,9
NGC6503,robust_tdf_success,uniform_plausible_band,plausible_only,mond_fit_a0_scaled,12.387856054529385,12.388771547271777,6.401835656144183,0.0,0.0,0.0,9.0,9
NGC6503,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,tdf_3knot,9.359551299579516,9.32883224915561,4.782128122652515,0.0,0.6666666666666666,1.0,6.8999999999999995,9
NGC6503,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,tdf_5knot,4.948099317468669,4.903793147965803,3.2074218859365513,1.0,1.0,1.0,6.8999999999999995,9
NGC6503,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,nfw_refit_scaled,10.319980573335503,10.143783127060708,4.64861505261118,0.0,0.0,1.0,6.8999999999999995,9
NGC6503,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,mond_fit_a0_scaled,12.387856054529383,12.388771547271777,6.401835656144183,0.0,0.0,0.0,6.8999999999999995,9
NGC6503,robust_tdf_success,canonical_delta_prior,all_grid,tdf_3knot,9.185985165201393,9.32883224915561,4.782128122652515,0.0,0.7823173358315979,0.9740515903575672,2.8676360440667232,20
NGC6503,robust_tdf_success,canonical_delta_prior,all_grid,tdf_5knot,4.861351108623356,4.903793147965803,3.2074218859365513,1.0,1.0,1.0,2.8676360440667232,20
NGC6503,robust_tdf_success,canonical_delta_prior,all_grid,nfw_refit_scaled,10.041921978277363,10.143783127060708,4.64861505261118,0.0,0.0,1.0,2.8676360440667232,20
NGC6503,robust_tdf_success,canonical_delta_prior,all_grid,mond_fit_a0_scaled,12.1401375126027,12.388771547271777,6.401835656144183,0.0,0.0,0.0,2.8676360440667232,20
NGC7814,tdf_failure_mode,uniform_plausible_band,plausible_only,tdf_3knot,55.350816531034276,6.774286184870132,3.3801669190547763,0.0,0.3333333333333333,0.5555555555555556,9.0,9
NGC7814,tdf_failure_mode,uniform_plausible_band,plausible_only,tdf_5knot,39.752528551126495,3.165556795391009,2.7173519778947353,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0,9
NGC7814,tdf_failure_mode,uniform_plausible_band,plausible_only,nfw_refit_scaled,12.346052830916689,8.433762983219795,3.3222417788207297,0.3333333333333333,0.0,0.8888888888888888,9.0,9
NGC7814,tdf_failure_mode,uniform_plausible_band,plausible_only,mond_fit_a0_scaled,14.694995002084966,11.848172089517297,3.05510206244502,0.0,0.1111111111111111,0.0,9.0,9
NGC7814,tdf_failure_mode,conservative_bulge_downweight_test,plausible_only,tdf_3knot,37.73760137834766,6.7641416677352675,3.3801669190547763,0.0,0.34782608695652184,0.6376811594202899,6.8999999999999995,9
NGC7814,tdf_failure_mode,conservative_bulge_downweight_test,plausible_only,tdf_5knot,26.985085922912933,3.165556795391009,2.7173519778947353,0.782608695652174,0.782608695652174,0.782608695652174,6.8999999999999995,9
NGC7814,tdf_failure_mode,conservative_bulge_downweight_test,plausible_only,nfw_refit_scaled,9.909091553682293,7.78648329287727,3.3222417788207297,0.2173913043478261,0.0,0.855072463768116,6.8999999999999995,9
NGC7814,tdf_failure_mode,conservative_bulge_downweight_test,plausible_only,mond_fit_a0_scaled,12.046811546384822,10.538540665117877,3.05510206244502,0.0,0.14492753623188406,0.0,6.8999999999999995,9
NGC7814,tdf_failure_mode,canonical_delta_prior,all_grid,tdf_3knot,123.25496338891485,155.80246506165764,3.3801669190547763,0.0,0.19169627593727048,0.21219022495874093,2.8676360440667232,20
NGC7814,tdf_failure_mode,canonical_delta_prior,all_grid,tdf_5knot,89.2090760438875,113.2509558944865,2.7173519778947353,0.21716443845369002,0.21783762504590834,0.21716443845369002,2.8676360440667232,20
NGC7814,tdf_failure_mode,canonical_delta_prior,all_grid,nfw_refit_scaled,24.373491869526525,24.889421235840032,3.3222417788207297,0.7821623749540915,0.0,0.9943525999128325,2.8676360440667232,20
NGC7814,tdf_failure_mode,canonical_delta_prior,all_grid,mond_fit_a0_scaled,27.089860116702027,27.84616905253339,3.05510206244502,0.0006731865922183227,0.00564740008716746,0.0,2.8676360440667232,20
