galaxy_id,model_name,K_tau,knot_index,knot_r_kpc,knot_position_rule,fitted_dtaudr,lower_bound,upper_bound,n_parameters,fit_success,fit_status
NGC2403,tdf_4knot,1.0,0,0.16,"r_min,r_min+span/3,r_min+2span/3,r_max",-171.18455488933512,-2228.6469864729333,2217.5366115907154,4,True,ok:2
NGC2403,tdf_4knot,1.0,1,7.0633333333333335,"r_min,r_min+span/3,r_min+2span/3,r_max",1138.384879248574,-2228.6469864729333,2217.5366115907154,4,True,ok:2
NGC2403,tdf_4knot,1.0,2,13.966666666666667,"r_min,r_min+span/3,r_min+2span/3,r_max",795.7248672441582,-2228.6469864729333,2217.5366115907154,4,True,ok:2
NGC2403,tdf_4knot,1.0,3,20.87,"r_min,r_min+span/3,r_min+2span/3,r_max",834.0850087045661,-2228.6469864729333,2217.5366115907154,4,True,ok:2
NGC2403,tdf_5knot,1.0,0,0.16,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",-1169.5955289432363,-2228.6469864729333,2217.5366115907154,5,True,ok:2
NGC2403,tdf_5knot,1.0,1,5.3375,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",1081.4101718309576,-2228.6469864729333,2217.5366115907154,5,True,ok:2
NGC2403,tdf_5knot,1.0,2,10.515,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",940.148696277704,-2228.6469864729333,2217.5366115907154,5,True,ok:2
NGC2403,tdf_5knot,1.0,3,15.6925,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",831.1676555993541,-2228.6469864729333,2217.5366115907154,5,True,ok:2
NGC2403,tdf_5knot,1.0,4,20.87,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",687.3320249993791,-2228.6469864729333,2217.5366115907154,5,True,ok:2
NGC3198,tdf_3knot,1.0,0,0.32,"r_min,r_mid,r_max",107.44695670687148,-16318.035701068617,6341.627103203848,3,True,ok:2
NGC3198,tdf_3knot,1.0,1,22.2,"r_min,r_mid,r_max",613.0284651288049,-16318.035701068617,6341.627103203848,3,True,ok:2
NGC3198,tdf_3knot,1.0,2,44.08,"r_min,r_mid,r_max",329.0072211978931,-16318.035701068617,6341.627103203848,3,True,ok:2
NGC3198,tdf_4knot,1.0,0,0.32,"r_min,r_min+span/3,r_min+2span/3,r_max",-342.6862156732025,-16318.035701068617,6341.627103203848,4,True,ok:2
NGC3198,tdf_4knot,1.0,1,14.906666666666666,"r_min,r_min+span/3,r_min+2span/3,r_max",750.5274018700987,-16318.035701068617,6341.627103203848,4,True,ok:2
NGC3198,tdf_4knot,1.0,2,29.493333333333332,"r_min,r_min+span/3,r_min+2span/3,r_max",452.89075415795736,-16318.035701068617,6341.627103203848,4,True,ok:2
NGC3198,tdf_4knot,1.0,3,44.08,"r_min,r_min+span/3,r_min+2span/3,r_max",374.92288657415236,-16318.035701068617,6341.627103203848,4,True,ok:2
NGC3198,tdf_5knot,1.0,0,0.32,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",-657.0044945656199,-16318.035701068617,6341.627103203848,5,True,ok:2
NGC3198,tdf_5knot,1.0,1,11.26,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",687.6237700127274,-16318.035701068617,6341.627103203848,5,True,ok:2
NGC3198,tdf_5knot,1.0,2,22.2,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",586.6271844061677,-16318.035701068617,6341.627103203848,5,True,ok:2
NGC3198,tdf_5knot,1.0,3,33.14,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",426.9626614897411,-16318.035701068617,6341.627103203848,5,True,ok:2
NGC3198,tdf_5knot,1.0,4,44.08,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",376.5121442540359,-16318.035701068617,6341.627103203848,5,True,ok:2
NGC6503,tdf_3knot,1.0,0,0.76,"r_min,r_mid,r_max",419.4675706454136,-6086.84736842205,3627.8263157904703,3,True,ok:2
NGC6503,tdf_3knot,1.0,1,12.129999999999999,"r_min,r_mid,r_max",692.8906605499092,-6086.84736842205,3627.8263157904703,3,True,ok:2
NGC6503,tdf_3knot,1.0,2,23.5,"r_min,r_mid,r_max",380.7138117001742,-6086.84736842205,3627.8263157904703,3,True,ok:2
NGC6503,tdf_4knot,1.0,0,0.76,"r_min,r_min+span/3,r_min+2span/3,r_max",-802.8632963288178,-6086.84736842205,3627.8263157904703,4,True,ok:2
NGC6503,tdf_4knot,1.0,1,8.34,"r_min,r_min+span/3,r_min+2span/3,r_max",764.3288419894543,-6086.84736842205,3627.8263157904703,4,True,ok:2
NGC6503,tdf_4knot,1.0,2,15.919999999999998,"r_min,r_min+span/3,r_min+2span/3,r_max",564.668370861733,-6086.84736842205,3627.8263157904703,4,True,ok:2
NGC6503,tdf_4knot,1.0,3,23.5,"r_min,r_min+span/3,r_min+2span/3,r_max",422.8519015184865,-6086.84736842205,3627.8263157904703,4,True,ok:2
NGC6503,tdf_5knot,1.0,0,0.76,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",-2124.289161324161,-6086.84736842205,3627.8263157904703,5,True,ok:2
NGC6503,tdf_5knot,1.0,1,6.444999999999999,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",767.2298315655784,-6086.84736842205,3627.8263157904703,5,True,ok:2
NGC6503,tdf_5knot,1.0,2,12.129999999999999,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",671.9295207762161,-6086.84736842205,3627.8263157904703,5,True,ok:2
NGC6503,tdf_5knot,1.0,3,17.815,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",511.0482325219499,-6086.84736842205,3627.8263157904703,5,True,ok:2
NGC6503,tdf_5knot,1.0,4,23.5,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",442.7431646459907,-6086.84736842205,3627.8263157904703,5,True,ok:2
IC2574,tdf_3knot,1.0,0,0.85,"r_min,r_mid,r_max",28.277390323117565,-146.490660799122,505.92798239536614,3,True,ok:2
IC2574,tdf_3knot,1.0,1,5.54,"r_min,r_mid,r_max",205.4320262695716,-146.490660799122,505.92798239536614,3,True,ok:2
IC2574,tdf_3knot,1.0,2,10.23,"r_min,r_mid,r_max",366.9298673518044,-146.490660799122,505.92798239536614,3,True,ok:2
IC2574,tdf_4knot,1.0,0,0.85,"r_min,r_min+span/3,r_min+2span/3,r_max",22.213149926888963,-146.490660799122,505.92798239536614,4,True,ok:2
IC2574,tdf_4knot,1.0,1,3.976666666666667,"r_min,r_min+span/3,r_min+2span/3,r_max",169.22806509140392,-146.490660799122,505.92798239536614,4,True,ok:2
IC2574,tdf_4knot,1.0,2,7.1033333333333335,"r_min,r_min+span/3,r_min+2span/3,r_max",250.86391946199763,-146.490660799122,505.92798239536614,4,True,ok:2
IC2574,tdf_4knot,1.0,3,10.23,"r_min,r_min+span/3,r_min+2span/3,r_max",355.92528296180154,-146.490660799122,505.92798239536614,4,True,ok:2
IC2574,tdf_5knot,1.0,0,0.85,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",16.444875168815454,-146.490660799122,505.92798239536614,5,True,ok:2
IC2574,tdf_5knot,1.0,1,3.1950000000000003,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",207.00549227831888,-146.490660799122,505.92798239536614,5,True,ok:2
IC2574,tdf_5knot,1.0,2,5.54,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",183.4433057823575,-146.490660799122,505.92798239536614,5,True,ok:2
IC2574,tdf_5knot,1.0,3,7.885,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",307.33700749025957,-146.490660799122,505.92798239536614,5,True,ok:2
IC2574,tdf_5knot,1.0,4,10.23,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",337.07747214604086,-146.490660799122,505.92798239536614,5,True,ok:2
NGC7814,tdf_3knot,1.0,0,0.63,"r_min,r_mid,r_max",-2162.3191974769984,-121076.09311353488,42417.98981679299,3,True,ok:2
NGC7814,tdf_3knot,1.0,1,10.080000000000002,"r_min,r_mid,r_max",1622.8301694066697,-121076.09311353488,42417.98981679299,3,True,ok:2
NGC7814,tdf_3knot,1.0,2,19.53,"r_min,r_mid,r_max",1418.8252075008586,-121076.09311353488,42417.98981679299,3,True,ok:2
NGC7814,tdf_4knot,1.0,0,0.63,"r_min,r_min+span/3,r_min+2span/3,r_max",-80202.57238095242,-121076.09311353488,42417.98981679299,4,True,ok:2;negative_v2_regions
NGC7814,tdf_4knot,1.0,1,6.930000000000001,"r_min,r_min+span/3,r_min+2span/3,r_max",1436.2532548334984,-121076.09311353488,42417.98981679299,4,True,ok:2;negative_v2_regions
NGC7814,tdf_4knot,1.0,2,13.230000000000002,"r_min,r_min+span/3,r_min+2span/3,r_max",1514.7230438552856,-121076.09311353488,42417.98981679299,4,True,ok:2;negative_v2_regions
NGC7814,tdf_4knot,1.0,3,19.53,"r_min,r_min+span/3,r_min+2span/3,r_max",1463.847406092563,-121076.09311353488,42417.98981679299,4,True,ok:2;negative_v2_regions
NGC7814,tdf_5knot,1.0,0,0.63,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",-15553.911566855837,-121076.09311353488,42417.98981679299,5,True,ok:2
NGC7814,tdf_5knot,1.0,1,5.355,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",811.188369954121,-121076.09311353488,42417.98981679299,5,True,ok:2
NGC7814,tdf_5knot,1.0,2,10.080000000000002,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",1539.9495538662052,-121076.09311353488,42417.98981679299,5,True,ok:2
NGC7814,tdf_5knot,1.0,3,14.805000000000001,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",1499.4790744809934,-121076.09311353488,42417.98981679299,5,True,ok:2
NGC7814,tdf_5knot,1.0,4,19.53,"r_min,r_min+span/4,r_mid,r_min+3span/4,r_max",1458.3656326153246,-121076.09311353488,42417.98981679299,5,True,ok:2
