r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
8.45,3679.3315383297663,3679.3315383297663,3679.3315383297663,0,True,0.0,True
8.94,4189.727692487135,4189.727692487135,4189.727692487135,0,True,0.0,True
9.44,4701.730288193445,4701.730288193445,4701.730288193445,0,True,0.0,True
9.94,5192.063036622579,5192.063036622579,5192.063036622579,0,True,0.0,True
10.43,5651.712237073944,5651.712237073944,5651.712237073944,0,True,0.0,True
10.93,6111.853341224036,6111.853341224036,6111.853341224036,0,True,0.0,True
11.43,6575.196194129945,6575.196194129945,6575.196194129945,0,True,0.0,True
11.92,7027.599355813331,7027.599355813331,7027.599355813331,0,True,0.0,True
12.42,7487.192115225245,7487.192115225245,7487.192115225245,0,True,0.0,True
12.92,7949.796384405585,7949.796384405585,7949.796384405585,0,True,0.0,True
13.42,8405.869998547178,8405.869998547178,8405.869998547178,0,True,0.0,True
13.91,8842.841529680256,8842.841529680256,8842.841529680256,0,True,0.0,True
14.41,9279.005076068232,9279.005076068232,9279.005076068232,0,True,0.0,True
14.91,9709.924564313924,9709.924564313924,9709.924564313924,0,True,0.0,True
15.4,10127.501677916143,10127.501677916143,10127.501677916143,0,True,0.0,True
15.9,10540.575759575053,10540.575759575053,10540.575759575053,0,True,0.0,True
16.4,10945.21314935876,10945.21314935876,10945.21314935876,0,True,0.0,True
16.89,11338.34860653771,11338.34860653771,11338.34860653771,0,True,0.0,True
17.39,11740.050197247783,11740.050197247783,11740.050197247783,0,True,0.0,True
17.89,12142.210363983771,12142.210363983771,12142.210363983771,0,True,0.0,True
18.38,12525.71896784519,12525.71896784519,12525.71896784519,0,True,0.0,True
18.88,12899.456525025817,12899.456525025817,12899.456525025817,0,True,0.0,True
19.38,13262.791535295171,13262.791535295171,13262.791535295171,0,True,0.0,True
19.87,13621.879891479995,13621.879891479995,13621.879891479995,0,True,0.0,True
20.37,13984.226681557448,13984.226681557448,13984.226681557448,0,True,0.0,True
20.87,14332.569102791804,14332.569102791804,14332.569102791804,0,True,0.0,True
