galaxy_id,selected,selection_rank,n_points,r_min_kpc,r_max_kpc,radial_coverage_kpc,v_obs_min_kms,v_obs_max_kms,median_v_err_kms,has_bulge,n_negative_residual_points,negative_residual_fraction,quality_flag,rejection_reason,data_source,data_mode
F568-V1,False,,15,0.39,17.63,17.24,17.4,118.0,13.1,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
F571-8,False,,13,0.22,15.55,15.33,12.4,144.0,4.0,False,6,0.46153846153846156,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
F571-V1,False,,7,1.95,13.59,11.64,32.0,84.3,6.0,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
F574-1,False,,14,0.47,12.6,12.129999999999999,15.3,99.7,4.4,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
F574-2,False,,5,2.17,10.83,8.66,12.6,40.0,8.0,False,5,1.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
F579-V1,False,,14,0.42,15.16,14.74,35.7,114.0,9.2,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
F583-1,False,,25,0.26,16.26,16.0,10.0,86.9,6.0,False,1,0.04,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
F583-4,False,,12,0.22,7.29,7.07,10.7,69.9,4.9,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
IC4202,False,,32,0.77,25.9,25.13,35.1,250.0,5.8100000000000005,True,10,0.3125,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
KK98-251,False,,15,0.25,3.13,2.88,4.25,34.6,2.0,False,0,0.0,rejected_quality,radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
NGC0024,False,,29,0.21,11.27,11.059999999999999,17.4,110.0,8.52,False,1,0.034482758620689655,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC0055,False,,21,1.23,13.5,12.27,28.7,87.4,4.0,False,1,0.047619047619047616,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC0100,False,,21,0.23,9.62,9.389999999999999,6.81,91.2,4.09,False,3,0.14285714285714285,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC0247,False,,26,1.08,14.54,13.459999999999999,34.6,108.0,4.9,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC0289,False,,28,1.5,71.12,69.62,156.0,194.0,6.77,False,7,0.25,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC0300,False,,25,0.91,11.8,10.89,33.1,97.0,5.7,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC0801,False,,13,1.17,59.82,58.65,123.0,238.0,6.2,False,9,0.6923076923076923,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC0891,False,,18,0.92,17.11,16.189999999999998,192.0,234.0,3.625,True,15,0.8333333333333334,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC1003,False,,36,1.25,30.24,28.99,47.0,115.0,2.7,False,4,0.1111111111111111,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC1090,False,,24,0.35,30.09,29.74,20.9,176.0,3.4450000000000003,False,7,0.2916666666666667,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC1705,False,,14,0.22,6.0,5.78,50.2,73.2,5.515,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC2366,False,,26,0.12,6.06,5.9399999999999995,4.2,53.7,1.98,False,3,0.11538461538461539,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC2683,False,,11,2.89,34.62,31.729999999999997,150.0,212.0,10.0,True,2,0.18181818181818182,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
NGC2841,False,,50,3.44,63.64,60.2,271.0,323.0,5.93,True,1,0.02,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC2903,False,,34,0.32,24.96,24.64,44.0,216.0,3.0,False,18,0.5294117647058824,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC2915,False,,30,0.34,10.04,9.7,13.5,86.5,7.835,False,3,0.1,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC2955,False,,24,0.75,35.43,34.68,169.0,276.0,8.59,True,18,0.75,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC2976,False,,27,0.11,2.27,2.16,6.8,88.7,3.3,False,24,0.8888888888888888,rejected_quality,radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
NGC2998,False,,13,0.33,42.28,41.95,90.0,214.0,5.0,False,2,0.15384615384615385,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC3109,False,,25,0.26,6.45,6.19,6.1,67.3,3.0,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC3521,False,,41,0.51,17.74,17.229999999999997,143.0,220.0,10.7,False,37,0.9024390243902439,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC3726,False,,12,3.5,32.52,29.020000000000003,102.0,169.0,4.9,False,8,0.6666666666666666,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC3741,False,,21,0.23,7.0,6.77,13.1,51.6,2.21,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC3769,False,,12,1.74,37.16,35.419999999999995,87.5,126.0,6.75,False,3,0.25,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC3877,False,,13,0.87,11.35,10.48,37.8,171.0,5.7,False,11,0.8461538461538461,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC3893,False,,10,1.74,19.05,17.310000000000002,145.0,194.0,6.9,False,4,0.4,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
NGC3917,False,,17,0.87,14.86,13.99,24.3,138.0,3.9,False,1,0.058823529411764705,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC3949,False,,7,1.74,7.07,5.33,123.0,169.0,6.6,False,6,0.8571428571428571,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
NGC3953,False,,8,3.5,15.68,12.18,181.0,224.0,6.1,False,8,1.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
NGC3972,False,,10,0.87,8.72,7.8500000000000005,39.6,134.0,4.9,False,1,0.1,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
NGC3992,False,,9,9.19,46.02,36.830000000000005,237.0,272.0,6.2,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
NGC4010,False,,12,0.87,10.47,9.600000000000001,39.3,129.0,5.15,False,4,0.3333333333333333,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC4013,False,,36,5.49,31.01,25.520000000000003,162.0,198.0,5.0,True,9,0.25,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC4051,False,,7,1.74,12.19,10.45,116.0,161.0,7.4,False,7,1.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
NGC4068,False,,6,0.21,2.33,2.12,4.68,41.9,2.9450000000000003,False,3,0.5,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
NGC4085,False,,7,0.87,6.2,5.33,42.2,136.0,5.9,False,7,1.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
NGC4088,False,,12,1.74,21.48,19.740000000000002,84.9,182.0,7.1,False,10,0.8333333333333334,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC4100,False,,24,2.61,22.76,20.150000000000002,120.0,195.0,6.15,False,4,0.16666666666666666,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC4138,False,,7,2.61,18.58,15.969999999999999,145.0,195.0,14.7,True,2,0.2857142857142857,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
NGC4157,False,,17,1.74,29.61,27.87,96.4,201.0,7.3,True,9,0.5294117647058824,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC4183,False,,23,0.87,21.02,20.15,47.1,115.0,5.3,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC4214,False,,14,0.21,5.63,5.42,55.5,80.6,6.465,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC4217,False,,19,0.87,16.72,15.85,47.8,191.0,6.65,True,12,0.631578947368421,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC4389,False,,6,0.87,5.32,4.45,27.3,110.0,6.550000000000001,False,6,1.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
NGC4559,False,,32,0.67,20.97,20.299999999999997,43.8,124.0,5.235,False,11,0.34375,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC5005,False,,18,0.49,11.47,10.98,211.0,265.0,22.25,True,18,1.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC5033,False,,22,0.76,44.59,43.830000000000005,191.0,225.0,3.0,True,6,0.2727272727272727,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC5055,False,,28,0.72,54.59,53.870000000000005,125.0,206.0,2.215,False,15,0.5357142857142857,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC5371,False,,19,1.45,46.24,44.79,207.0,242.0,3.0,False,16,0.8421052631578947,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC5585,False,,24,0.09,10.96,10.870000000000001,11.2,92.3,2.3200000000000003,False,11,0.4583333333333333,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC5907,False,,19,5.03,50.33,45.3,211.0,235.0,3.0,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC5985,False,,33,3.54,34.72,31.18,223.0,305.0,5.32,True,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC6015,False,,44,0.34,29.23,28.89,35.5,166.0,3.3499999999999996,False,4,0.09090909090909091,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC6195,False,,23,1.33,36.43,35.1,175.0,258.0,6.51,True,20,0.8695652173913043,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC6674,False,,15,2.5,72.41,69.91,206.0,291.0,2.0,True,1,0.06666666666666667,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC6789,False,,4,0.1,0.71,0.61,13.9,60.4,4.01,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
NGC6946,False,,58,0.19,20.4,20.209999999999997,128.0,181.0,5.0,True,32,0.5517241379310345,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC7331,False,,36,2.67,36.31,33.64,221.0,257.0,5.0,True,22,0.6111111111111112,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
NGC7793,False,,46,0.11,7.87,7.76,9.1,116.0,6.800000000000001,False,26,0.5652173913043478,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
PGC51017,False,,6,0.33,3.63,3.3,18.2,20.5,1.8599999999999999,False,5,0.8333333333333334,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC00128,False,,22,1.25,53.75,52.5,34.1,134.0,1.25,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC00191,False,,9,0.62,9.98,9.360000000000001,29.9,83.85,1.87,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC00634,False,,4,4.51,18.01,13.500000000000002,69.75,108.0,1.9749999999999999,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC00731,False,,12,0.91,10.91,10.0,29.6,74.0,2.755,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC00891,False,,5,1.48,7.39,5.91,24.35,63.75,0.95,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC01230,False,,11,0.78,36.54,35.76,19.8,113.0,10.7,False,1,0.09090909090909091,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC01281,False,,25,0.08,4.99,4.91,1.41,56.9,4.0,False,2,0.08,rejected_quality,radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC02023,False,,5,0.76,3.78,3.0199999999999996,15.1,58.8,8.69,False,3,0.6,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC02259,False,,8,1.02,8.14,7.120000000000001,56.1,90.0,1.9,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC02455,False,,8,0.5,4.03,3.5300000000000002,16.9,61.0,3.64,False,8,1.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC02487,False,,17,9.93,80.38,70.44999999999999,329.0,383.0,4.0,True,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC02885,False,,19,1.7,74.07,72.36999999999999,256.0,305.0,10.0,True,3,0.15789473684210525,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC02916,False,,43,0.37,38.0,37.63,181.0,218.0,5.02,True,23,0.5348837209302325,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC02953,False,,115,0.09,62.39,62.3,231.0,319.0,4.92,True,74,0.6434782608695652,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC03205,False,,48,0.28,40.04,39.76,107.0,237.0,6.87,True,14,0.2916666666666667,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC03546,False,,30,0.63,29.23,28.6,190.0,262.0,12.0,True,19,0.6333333333333333,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC03580,False,,47,0.11,27.06,26.95,56.2,131.0,3.02,True,30,0.6382978723404256,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC04278,False,,25,0.14,6.69,6.550000000000001,5.23,92.8,4.0,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC04305,False,,22,0.25,5.52,5.27,3.17,37.3,3.225,False,17,0.7727272727272727,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC04325,False,,8,0.7,5.59,4.89,41.3,92.7,3.05,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC04483,False,,8,0.08,1.21,1.13,5.11,24.3,1.69,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC04499,False,,9,0.91,8.18,7.27,26.0,74.3,2.85,False,1,0.1111111111111111,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC05005,False,,11,0.78,28.61,27.83,14.5,100.0,10.0,False,1,0.09090909090909091,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC05253,False,,73,0.13,53.29,53.16,210.0,248.0,3.84,True,54,0.7397260273972602,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC05414,False,,6,0.68,4.11,3.43,20.5,61.4,2.45,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC05716,False,,12,1.03,12.37,11.34,39.15,74.7,1.0350000000000001,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC05721,False,,23,0.09,6.74,6.65,16.5,82.6,4.57,False,1,0.043478260869565216,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC05750,False,,11,0.31,22.85,22.540000000000003,3.1,78.9,10.0,False,2,0.18181818181818182,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC05764,False,,10,0.36,3.62,3.2600000000000002,21.45,55.8,0.96,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC05829,False,,11,0.63,6.91,6.28,14.8,68.6,5.06,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC05918,False,,8,0.56,4.46,3.9,16.9,44.5,3.93,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC05986,False,,15,0.63,9.41,8.78,29.5,116.0,3.05,False,1,0.06666666666666667,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC05999,False,,5,3.48,16.22,12.739999999999998,46.2,100.0,5.0,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC06399,False,,9,0.87,7.85,6.9799999999999995,24.8,87.6,4.9,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC06446,False,,17,0.58,10.22,9.64,31.3,84.9,4.1,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC06614,False,,13,3.23,64.59,61.36000000000001,170.0,205.0,16.0,True,7,0.5384615384615384,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC06628,False,,7,1.1,7.69,6.59,26.9,42.3,8.27,False,6,0.8571428571428571,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC06667,False,,9,0.87,7.85,6.9799999999999995,26.6,85.7,3.4,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC06786,False,,45,0.16,34.05,33.89,160.0,229.0,4.72,True,6,0.13333333333333333,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC06787,False,,71,0.12,37.19,37.07,134.0,276.0,3.6,True,34,0.4788732394366197,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC06818,False,,8,0.87,6.98,6.11,23.4,74.4,5.225,False,3,0.375,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC06917,False,,11,1.74,10.47,8.73,59.2,111.0,4.0,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC06923,False,,6,0.93,5.16,4.23,40.5,81.1,5.199999999999999,False,2,0.3333333333333333,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC06930,False,,10,1.74,16.61,14.87,54.7,109.0,6.6,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC06973,False,,9,1.74,7.85,6.109999999999999,170.0,180.0,4.8,True,8,0.8888888888888888,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC06983,False,,17,1.74,15.68,13.94,56.9,113.0,5.2,False,1,0.058823529411764705,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC07089,False,,12,0.87,9.16,8.290000000000001,20.9,79.1,4.7,False,1,0.08333333333333333,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC07125,False,,13,1.44,18.68,17.24,26.1,65.6,2.35,False,1,0.07692307692307693,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC07151,False,,11,0.5,5.5,5.0,24.2,76.2,2.4,False,1,0.09090909090909091,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC07232,False,,4,0.21,0.82,0.61,16.4,44.0,3.3,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC07261,False,,7,0.95,6.67,5.72,46.8,76.1,5.66,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC07323,False,,10,0.58,5.82,5.24,23.9,85.6,3.87,False,2,0.2,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC07399,False,,10,0.61,6.13,5.52,47.3,106.0,3.1399999999999997,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC07524,False,,31,0.35,10.69,10.34,14.4,83.8,3.26,False,1,0.03225806451612903,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC07559,False,,7,0.36,2.53,2.17,9.31,32.1,3.23,False,2,0.2857142857142857,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC07577,False,,9,0.19,1.69,1.5,3.74,17.8,3.17,False,7,0.7777777777777778,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC07603,False,,12,0.34,4.11,3.7700000000000005,19.6,64.0,2.89,False,1,0.08333333333333333,rejected_quality,radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC07608,False,,8,0.6,4.78,4.180000000000001,14.6,69.3,6.69,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC07690,False,,7,0.59,4.13,3.54,45.3,60.7,4.31,False,1,0.14285714285714285,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC07866,False,,7,0.33,2.32,1.9899999999999998,12.2,33.1,4.07,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC08286,False,,17,0.47,8.04,7.569999999999999,22.2,84.3,2.02,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC08490,False,,30,0.34,10.15,9.81,38.8,80.1,3.69,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC08550,False,,11,0.49,5.36,4.87,25.0,57.8,2.05,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC08699,False,,41,0.22,25.7,25.48,152.0,202.0,5.93,True,14,0.34146341463414637,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC08837,False,,8,0.52,4.2,3.68,7.31,48.0,2.31,False,2,0.25,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC09037,False,,22,2.43,27.96,25.53,62.2,160.0,5.545,False,11,0.5,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC09133,False,,68,0.32,108.31,107.99000000000001,222.0,289.0,4.484999999999999,True,33,0.4852941176470588,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC09992,False,,5,0.78,3.89,3.1100000000000003,28.1,34.3,5.66,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGC10310,False,,7,1.1,7.74,6.640000000000001,33.2,73.2,5.06,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
