disk_scale,bulge_scale,scenario_name,prior_weight,raw_weight,tdf_3knot_rmse,tdf_5knot_rmse,nfw_scaled_rmse,mond_scaled_rmse,winning_model,tdf_3knot_beats_nfw,tdf_3knot_beats_mond,tdf_5knot_beats_nfw,tdf_5knot_beats_mond
0.7,0.2,canonical_delta_prior,3.797858869866137e-05,0.00010890876985506645,16.90109758283086,8.884075488489467,13.284977347965052,28.241072264885435,tdf_5knot,False,True,True,True
0.7,0.5,canonical_delta_prior,0.004974213494949138,0.014264233908999256,3.3801669190547763,2.9477505027012088,3.3222417788207297,3.05510206244502,tdf_5knot,False,False,True,True
0.7,0.7,canonical_delta_prior,0.03675474256223704,0.10539922456186425,6.774286184870132,2.9601192380480574,7.78648329287727,10.538540665117877,tdf_5knot,True,True,True,True
0.7,1.0,canonical_delta_prior,0.11321257731784727,0.3246524673583496,155.8027270007603,113.25020543174728,22.99714361104921,26.23797288341024,nfw_refit_scaled,False,False,False,False
0.7,1.3,canonical_delta_prior,0.03675474256223704,0.10539922456186425,155.80657267658637,113.25863112391752,39.141617485978635,41.25674936795135,nfw_refit_scaled,False,False,False,False
1.0,0.2,canonical_delta_prior,0.00011698228880774467,0.00033546262790251185,16.9940721725951,9.122820443645102,14.898703475596603,21.355090391621875,tdf_5knot,False,True,True,True
1.0,0.5,canonical_delta_prior,0.015321656217257782,0.04393693362340742,3.459797337793205,3.165556795391009,3.420563122998117,3.957454239339872,tdf_5knot,False,True,True,True
1.0,0.7,canonical_delta_prior,0.11321257731784727,0.3246524673583496,6.7641416677352675,2.817253358356396,8.433762983219795,11.848172089517297,tdf_5knot,True,True,True,True
1.0,1.0,canonical_delta_prior,0.34871928816386866,1.0,155.80246506165764,113.2509558944865,24.889421235840032,27.84616905253339,nfw_refit_scaled,False,False,False,False
1.0,1.3,canonical_delta_prior,0.11321257731784727,0.3246524673583496,155.8072312384682,113.25935113473682,41.47945917483368,43.12840687410351,nfw_refit_scaled,False,False,False,False
1.3,0.2,canonical_delta_prior,3.797858869866137e-05,0.00010890876985506645,17.09799323495873,9.37080491175386,16.473724067111384,21.10015119115092,tdf_5knot,False,True,True,True
1.3,0.5,canonical_delta_prior,0.004974213494949138,0.014264233908999256,3.58997326168183,3.41128673338831,3.4115233484852885,5.364423240148703,tdf_5knot,False,True,True,True
1.3,0.7,canonical_delta_prior,0.03675474256223704,0.10539922456186425,6.780926686327,2.7173519778947353,9.574186577671805,13.63672854438525,tdf_5knot,True,True,True,True
1.3,1.0,canonical_delta_prior,0.11321257731784727,0.3246524673583496,155.80286465942834,113.252277028125,27.279149527287963,29.77039224186705,nfw_refit_scaled,False,False,False,False
1.3,1.3,canonical_delta_prior,0.03675474256223704,0.10539922456186425,155.8085561042647,113.26064739670962,44.0355961410005,45.23496542947239,nfw_refit_scaled,False,False,False,False
