galaxy_id,scenario_name,model_name,prior_weighted_mean_rmse,prior_weighted_median_rmse,best_plausible_rmse,fraction_prior_weight_model_wins,fraction_prior_weight_tdf_3knot_beats_nfw,fraction_prior_weight_tdf_3knot_beats_mond,fraction_prior_weight_tdf_5knot_beats_nfw,fraction_prior_weight_tdf_5knot_beats_mond,recommended_interpretation
IC2574,morphology_aware_conservative,tdf_5knot,1.7360802229928314,1.7320131108365184,1.7005811809053475,1.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
IC2574,morphology_aware_conservative,nfw_refit_scaled,6.392698096691429,6.3878316878885135,5.896317412864284,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
IC2574,morphology_aware_conservative,mond_fit_a0_scaled,6.238829365514455,6.294218833673776,5.420742894553859,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
IC2574,canonical_anchor_prior,tdf_3knot,2.980631465771584,2.979359675237586,2.979359675237586,0.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
IC2574,canonical_anchor_prior,tdf_5knot,1.733512153926178,1.7320131108365184,1.7005811809053475,1.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
IC2574,canonical_anchor_prior,nfw_refit_scaled,6.3873326447235375,6.3878316878885135,5.896317412864284,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
IC2574,canonical_anchor_prior,mond_fit_a0_scaled,6.26693105791641,6.294218833673776,5.420742894553859,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC2403,photometry_uniform_plausible,tdf_3knot,8.780861825205719,8.658875500476361,4.979255672682997,0.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
NGC2403,photometry_uniform_plausible,tdf_5knot,3.5103784495453807,3.437358703282382,3.3571324261373414,1.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
NGC2403,photometry_uniform_plausible,nfw_refit_scaled,10.347888790795103,9.756511070099725,5.0053946795216335,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC2403,photometry_uniform_plausible,mond_fit_a0_scaled,14.205898488855228,14.24104906222355,8.10505139277264,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC2403,morphology_aware_conservative,tdf_3knot,8.75581010810965,8.658875500476361,4.979255672682997,0.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
NGC2403,morphology_aware_conservative,tdf_5knot,3.495382752036943,3.437358703282382,3.3571324261373414,1.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
NGC2403,morphology_aware_conservative,nfw_refit_scaled,10.226440526912668,9.756511070099725,5.0053946795216335,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC2403,morphology_aware_conservative,mond_fit_a0_scaled,14.213117185063526,14.24104906222355,8.10505139277264,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC2403,canonical_anchor_prior,tdf_3knot,8.682197993641418,8.658875500476361,4.979255672682997,0.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
NGC2403,canonical_anchor_prior,tdf_5knot,3.46060476017249,3.437358703282382,3.3571324261373414,1.0,1.0,1.0,1.0,1.0,Moderate photometry-informed prior support.
NGC2403,canonical_anchor_prior,nfw_refit_scaled,9.927062022856234,9.756511070099725,5.0053946795216335,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC2403,canonical_anchor_prior,mond_fit_a0_scaled,14.199747933009126,14.24104906222355,8.10505139277264,0.0,1.0,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC3198,photometry_uniform_plausible,tdf_3knot,40.79668157349926,10.447553889702954,7.88076746628977,0.0,0.6666666666666667,0.6666666666666667,1.0,1.0,Moderate photometry-informed prior support.
NGC3198,photometry_uniform_plausible,tdf_5knot,8.360703633115717,8.238204401776544,6.818723424989798,1.0,0.6666666666666667,0.6666666666666667,1.0,1.0,Moderate photometry-informed prior support.
NGC3198,photometry_uniform_plausible,nfw_refit_scaled,13.28263628305205,11.997968710477918,8.424563972386851,0.0,0.6666666666666667,0.6666666666666667,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC3198,photometry_uniform_plausible,mond_fit_a0_scaled,14.857147996404226,14.338584781220934,8.392639416748004,0.0,0.6666666666666667,0.6666666666666667,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC3198,morphology_aware_conservative,tdf_3knot,34.56403408179234,10.447553889702954,7.88076746628977,0.0,0.7351216544194623,0.7351216544194623,1.0,1.0,Moderate photometry-informed prior support.
NGC3198,morphology_aware_conservative,tdf_5knot,8.335546582972567,8.238204401776544,6.818723424989798,1.0,0.7351216544194623,0.7351216544194623,1.0,1.0,Moderate photometry-informed prior support.
NGC3198,morphology_aware_conservative,nfw_refit_scaled,13.018810574211123,11.997968710477918,8.424563972386851,0.0,0.7351216544194623,0.7351216544194623,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC3198,morphology_aware_conservative,mond_fit_a0_scaled,14.75065328077096,14.338584781220934,8.392639416748004,0.0,0.7351216544194623,0.7351216544194623,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC3198,canonical_anchor_prior,tdf_3knot,20.10325415622383,10.447553889702954,7.88076746628977,0.0,0.8938160777207019,0.8938160777207019,1.0,1.0,Moderate photometry-informed prior support.
NGC3198,canonical_anchor_prior,tdf_5knot,8.27107556498518,8.238204401776544,6.818723424989798,1.0,0.8938160777207019,0.8938160777207019,1.0,1.0,Moderate photometry-informed prior support.
NGC3198,canonical_anchor_prior,nfw_refit_scaled,12.394563657417542,11.997968710477918,8.424563972386851,0.0,0.8938160777207019,0.8938160777207019,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC3198,canonical_anchor_prior,mond_fit_a0_scaled,14.482805007795287,14.338584781220934,8.392639416748004,0.0,0.8938160777207019,0.8938160777207019,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC6503,photometry_uniform_plausible,tdf_3knot,9.359551299579515,9.32883224915561,4.782128122652515,0.0,0.6666666666666667,1.0000000000000002,1.0,1.0,Moderate photometry-informed prior support.
NGC6503,photometry_uniform_plausible,tdf_5knot,4.94809931746867,4.903793147965803,3.2074218859365513,1.0,0.6666666666666667,1.0000000000000002,1.0,1.0,Moderate photometry-informed prior support.
NGC6503,photometry_uniform_plausible,nfw_refit_scaled,10.319980573335503,10.143783127060708,4.64861505261118,0.0,0.6666666666666667,1.0000000000000002,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC6503,photometry_uniform_plausible,mond_fit_a0_scaled,12.387856054529385,12.388771547271777,6.401835656144183,0.0,0.6666666666666667,1.0000000000000002,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC6503,morphology_aware_conservative,tdf_3knot,9.353242682917879,9.32883224915561,4.782128122652515,0.0,0.7351216544194623,1.0,1.0,1.0,Moderate photometry-informed prior support.
NGC6503,morphology_aware_conservative,tdf_5knot,4.939000382596594,4.903793147965803,3.2074218859365513,1.0,0.7351216544194623,1.0,1.0,1.0,Moderate photometry-informed prior support.
NGC6503,morphology_aware_conservative,nfw_refit_scaled,10.283795791255061,10.143783127060708,4.64861505261118,0.0,0.7351216544194623,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC6503,morphology_aware_conservative,mond_fit_a0_scaled,12.38804406466279,12.388771547271777,6.401835656144183,0.0,0.7351216544194623,1.0,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC6503,canonical_anchor_prior,tdf_3knot,9.319854511977558,9.32883224915561,4.782128122652515,0.0,0.890782880805526,0.9969668030848242,1.0,1.0,Moderate photometry-informed prior support.
NGC6503,canonical_anchor_prior,tdf_5knot,4.909966732710613,4.903793147965803,3.2074218859365513,1.0,0.890782880805526,0.9969668030848242,1.0,1.0,Moderate photometry-informed prior support.
NGC6503,canonical_anchor_prior,nfw_refit_scaled,10.176157186662016,10.143783127060708,4.64861505261118,0.0,0.890782880805526,0.9969668030848242,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC6503,canonical_anchor_prior,mond_fit_a0_scaled,12.359477801855975,12.388771547271777,6.401835656144183,0.0,0.890782880805526,0.9969668030848242,1.0,1.0,Baseline competitive under morphology-aware photometry prior.
NGC7814,photometry_uniform_plausible,tdf_3knot,55.350816531034276,6.774286184870132,3.3801669190547763,0.0,0.3333333333333333,0.5555555555555556,0.6666666666666667,0.6666666666666667,See photometry prior report.
NGC7814,photometry_uniform_plausible,tdf_5knot,39.752528551126495,3.165556795391009,2.7173519778947353,0.6666666666666667,0.3333333333333333,0.5555555555555556,0.6666666666666667,0.6666666666666667,See photometry prior report.
NGC7814,photometry_uniform_plausible,nfw_refit_scaled,12.34605283091669,8.433762983219795,3.3222417788207297,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.6666666666666667,0.6666666666666667,See photometry prior report.
NGC7814,photometry_uniform_plausible,mond_fit_a0_scaled,14.694995002084966,11.848172089517297,3.05510206244502,0.0,0.3333333333333333,0.5555555555555556,0.6666666666666667,0.6666666666666667,See photometry prior report.
NGC7814,morphology_aware_conservative,tdf_3knot,71.53669636238418,6.780926686327,3.3801669190547763,0.0,0.43734874353781883,0.529461334141692,0.5626512564621811,0.5626512564621811,See photometry prior report.
NGC7814,morphology_aware_conservative,tdf_5knot,51.16490778376323,3.165556795391009,2.7173519778947353,0.5626512564621811,0.43734874353781883,0.529461334141692,0.5626512564621811,0.5626512564621811,See photometry prior report.
NGC7814,morphology_aware_conservative,nfw_refit_scaled,15.113649243719026,9.574186577671805,3.3222417788207297,0.43734874353781883,0.43734874353781883,0.529461334141692,0.5626512564621811,0.5626512564621811,See photometry prior report.
NGC7814,morphology_aware_conservative,mond_fit_a0_scaled,17.964987971791775,13.63672854438525,3.05510206244502,0.0,0.43734874353781883,0.529461334141692,0.5626512564621811,0.5626512564621811,See photometry prior report.
NGC7814,ngc7814_bulge_sensitivity_diagnostic,tdf_3knot,31.517218854172246,6.7641416677352675,3.3801669190547763,0.0,0.35294117647058826,0.6482637747836566,0.823529411764706,0.8235294117647058,NGC7814 bulge-sensitivity diagnostic; not calibrated bulge M/L.
NGC7814,ngc7814_bulge_sensitivity_diagnostic,tdf_5knot,22.47373571252274,2.9601192380480574,2.7173519778947353,0.8235294117647058,0.35294117647058826,0.6482637747836566,0.823529411764706,0.8235294117647058,"Diagnostic lower-bulge weights favor tdf_5knot (sensitivity), not primary tdf_3knot."
NGC7814,ngc7814_bulge_sensitivity_diagnostic,nfw_refit_scaled,8.993119867236897,7.78648329287727,3.3222417788207297,0.17647058823529407,0.35294117647058826,0.6482637747836566,0.823529411764706,0.8235294117647058,NGC7814 bulge-sensitivity diagnostic; not calibrated bulge M/L.
NGC7814,ngc7814_bulge_sensitivity_diagnostic,mond_fit_a0_scaled,11.002521137304905,10.538540665117877,3.05510206244502,0.0,0.35294117647058826,0.6482637747836566,0.823529411764706,0.8235294117647058,NGC7814 bulge-sensitivity diagnostic; not calibrated bulge M/L.
NGC7814,canonical_anchor_prior,tdf_3knot,139.5157416165217,155.80246506165764,3.3801669190547763,0.0,0.10618386680732268,0.10888630769602704,0.10921758455198831,0.10920838427326843,Canonical-anchor prior: NGC7814 canonical tdf_3knot failure at M/L=1 unchanged.
NGC7814,canonical_anchor_prior,tdf_5knot,101.19223013721202,113.2509558944865,2.7173519778947353,0.10920838427326843,0.10618386680732268,0.10888630769602704,0.10921758455198831,0.10920838427326843,Canonical-anchor prior: NGC7814 canonical tdf_3knot failure at M/L=1 unchanged.
NGC7814,canonical_anchor_prior,nfw_refit_scaled,24.880046961350324,24.889421235840032,3.3222417788207297,0.8907824154480117,0.10618386680732268,0.10888630769602704,0.10921758455198831,0.10920838427326843,Canonical-anchor prior: NGC7814 canonical tdf_3knot failure at M/L=1 unchanged.
NGC7814,canonical_anchor_prior,mond_fit_a0_scaled,27.724768349504636,27.84616905253339,3.05510206244502,9.200278719875184e-06,0.10618386680732268,0.10888630769602704,0.10921758455198831,0.10920838427326843,Canonical-anchor prior: NGC7814 canonical tdf_3knot failure at M/L=1 unchanged.
