#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-28T05:46:17 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-28T05:46:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out=Name,Type,Dist,i,L3.6,Rdisk,SBdisk&-out.max=200	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Type	(I2)	[0/11] Numerical Hubble type (1)	[ucd=meta.note]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	i	(F4.1)	[15/90] Assumed inclination angle (3)	[ucd=src.orbital.inclination;pos.posAng]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	Rdisk	(F5.2)	[0.18/18.8] The 3.6{mu}m scale length of the stellar disk (R_d_)	[ucd=src.morph.scLength]
#Column	SBdisk	(F8.2)	[12/23813.9] Extrapolated 3.6{mu}m central surface brightness of the stellar disk ({Sigma}_d_)	[ucd=phot.mag.sb]
Name	Type	Dist	i	L3.6	Rdisk	SBdisk
NGC0289    	 4	 20.80	46.0	 72.065	 6.74	   69.96
NGC0300    	 7	  2.08	42.0	  2.922	 1.75	  437.35
NGC0801    	 5	 80.70	80.0	312.570	 8.72	 1558.94
NGC0891    	 3	  9.91	90.0	138.340	 2.55	 5067.92
NGC1003    	 6	 11.40	67.0	  6.820	 1.61	 1345.33
NGC1090    	 4	 37.00	64.0	 72.045	 3.53	 2055.09
NGC1705    	11	  5.73	80.0	  0.533	 0.39	  587.26
NGC2366    	10	  3.27	68.0	  0.236	 0.65	  113.98
NGC2403    	 6	  3.16	63.0	 10.041	 1.39	 1408.74
NGC2683    	 3	  9.81	80.0	 80.415	 2.18	10205.40
NGC2841    	 3	 14.10	76.0	188.121	 3.64	 4751.49
NGC2903    	 4	  6.60	66.0	 81.863	 2.33	 1193.52
NGC2915    	11	  4.06	56.0	  0.641	 0.55	  313.93
NGC2955    	 3	 97.90	56.0	319.422	18.76	   50.68
NGC2976    	 5	  3.58	61.0	  3.371	 1.01	 1502.55
NGC2998    	 5	 68.10	58.0	150.902	 6.20	  774.16
NGC3109    	 9	  1.33	70.0	  0.194	 1.56	  140.87
NGC3198    	 5	 13.80	73.0	 38.279	 3.14	 1602.62
NGC3521    	 4	  7.70	75.0	 84.836	 2.40	 2112.66
NGC3726    	 5	 18.00	53.0	 70.234	 3.40	 1789.91
NGC3741    	10	  3.21	70.0	  0.028	 0.20	  143.49
NGC3769    	 3	 18.00	70.0	 18.679	 3.38	  160.26
NGC3877    	 5	 18.00	76.0	 72.535	 2.53	 3410.59
NGC3893    	 5	 18.00	49.0	 58.525	 2.38	 2055.09
NGC3917    	 6	 18.00	79.0	 21.966	 2.63	 1226.96
NGC3949    	 4	 18.00	55.0	 38.067	 3.59	  185.71
NGC3953    	 4	 18.00	62.0	141.301	 4.89	 1999.08
NGC3972    	 4	 18.00	77.0	 14.353	 2.18	 1587.93
NGC3992    	 4	 23.70	56.0	226.932	 4.96	 3257.09
NGC4010    	 7	 18.00	89.0	 17.193	 2.81	 2611.14
NGC4013    	 3	 18.00	89.0	 79.094	 3.53	10205.40
NGC4051    	 4	 18.00	49.0	 95.268	 4.65	 1320.78
NGC4068    	10	  4.37	44.0	  0.236	 0.59	  261.11
NGC4085    	 5	 18.00	82.0	 21.724	 1.65	 5021.46
NGC4088    	 4	 18.00	69.0	107.286	 2.58	 3988.69
NGC4100    	 4	 18.00	73.0	 59.394	 2.15	 8970.78
NGC4138    	 0	 18.00	53.0	 44.111	 1.51	 3952.12
NGC4157    	 3	 18.00	82.0	105.620	 2.32	23813.87
NGC4183    	 6	 18.00	82.0	 10.838	 2.79	 1098.58
NGC4214    	10	  2.87	15.0	  1.141	 0.51	 1308.67
NGC4217    	 3	 18.00	86.0	 85.299	 2.94	 4373.51
NGC4389    	 4	 18.00	50.0	 21.328	 2.79	  322.72
NGC4559    	 6	  9.00	67.0	 19.377	 2.10	 1602.62
NGC5005    	 4	 16.90	68.0	178.720	 9.45	   96.57
NGC5033    	 5	 15.70	66.0	110.509	 5.16	  614.94
NGC5055    	 4	  9.90	55.0	152.922	 3.20	 3348.34
NGC5371    	 4	 39.70	53.0	340.393	 7.44	 1395.82
NGC5585    	 7	  7.06	51.0	  2.943	 1.53	  297.05
NGC5907    	 5	 17.30	88.0	175.425	 5.34	 8646.29
NGC5985    	 3	 39.70	60.0	208.728	 7.01	 1461.61
NGC6015    	 6	 17.00	60.0	 32.129	 2.30	 1926.77
NGC6195    	 3	127.80	62.0	391.076	13.94	  174.11
NGC6503    	 6	  6.26	74.0	 12.845	 2.16	  398.87
NGC6674    	 3	 51.20	54.0	214.654	 6.04	 1370.35
NGC6789    	11	  3.52	43.0	  0.100	 0.31	  319.76
NGC6946    	 6	  5.52	38.0	 66.173	 2.44	 2232.70
NGC7331    	 3	 14.70	75.0	250.631	 5.02	 1806.47
NGC7793    	 7	  3.61	47.0	  7.050	 1.21	 1068.64
NGC7814    	 2	 14.40	90.0	 74.529	 2.54	 2635.30
PGC51017   	11	 13.60	66.0	  0.155	 0.53	   93.94
UGC00128   	 8	 64.50	57.0	 12.020	 5.95	   88.89
UGC00191   	 9	 17.10	45.0	  2.004	 1.58	  207.41
UGC00634   	 9	 30.90	37.0	  2.989	 2.45	  126.13
UGC00731   	10	 12.50	57.0	  0.323	 2.30	   82.57
UGC00891   	 9	 10.20	60.0	  0.374	 1.43	  113.98
UGC01230   	 9	 53.70	22.0	  7.620	 4.34	   69.32
UGC01281   	 8	  5.27	90.0	  0.353	 1.63	  135.78
UGC02023   	10	 10.40	19.0	  1.308	 1.55	  121.57
UGC02259   	 8	 10.50	41.0	  1.725	 1.62	  172.52
UGC02455   	10	  6.92	51.0	  3.649	 0.99	  795.85
UGC02487   	 0	 69.10	36.0	489.955	 7.89	 1150.35
UGC02885   	 5	 80.60	64.0	403.525	11.40	  470.79
UGC02916   	 2	 65.40	50.0	124.153	 6.15	  520.99
UGC02953   	 2	 16.50	50.0	259.518	 3.55	 4215.31
UGC03205   	 2	 50.00	67.0	113.642	 3.19	 3915.89
UGC03546   	 1	 28.70	55.0	101.336	 3.79	  922.21
UGC03580   	 1	 20.70	63.0	 13.266	 2.43	  302.57
UGC04278   	 7	  9.51	90.0	  1.307	 2.21	  377.42
UGC04305   	10	  3.45	40.0	  0.736	 1.16	   88.07
UGC04325   	 9	  9.60	41.0	  2.026	 1.86	  213.22
UGC04483   	10	  3.34	58.0	  0.013	 0.18	   82.57
UGC04499   	 8	 12.50	50.0	  1.552	 1.73	  127.30
UGC05005   	10	 53.70	41.0	  4.100	 3.20	   65.59
UGC05253   	 2	 22.90	37.0	171.582	 8.07	  189.16
UGC05414   	10	  9.40	55.0	  1.123	 1.47	  127.30
UGC05716   	 9	 21.30	54.0	  0.588	 1.14	   90.54
UGC05721   	 7	  6.18	61.0	  0.531	 0.38	  913.76
UGC05750   	 8	 58.70	64.0	  3.336	 3.46	  124.98
UGC05764   	10	  7.47	60.0	  0.085	 1.17	   33.79
UGC05829   	10	  8.64	34.0	  0.564	 1.99	   63.22
UGC05918   	10	  7.66	46.0	  0.233	 1.66	   24.94
UGC05986   	 9	  8.63	90.0	  4.695	 1.67	 1725.16
UGC05999   	10	 47.70	22.0	  3.384	 3.22	   51.62
UGC06399   	 9	 18.00	75.0	  2.296	 2.05	  311.05
UGC06446   	 7	 12.00	51.0	  0.988	 1.49	   86.46
UGC06614   	 1	 88.70	36.0	124.350	 5.10	  540.54
UGC06628   	 9	 15.10	20.0	  3.739	 2.82	  103.00
UGC06667   	 6	 18.00	89.0	  1.397	 5.15	  614.94
UGC06786   	 0	 29.30	64.0	 73.407	 3.60	 1078.52
UGC06787   	 2	 21.30	66.0	 98.256	 5.37	  429.37
UGC06818   	 9	 18.00	75.0	  1.588	 1.39	  286.31
UGC06917   	 9	 18.00	56.0	  6.832	 2.76	  261.11
UGC06923   	10	 18.00	65.0	  2.890	 1.44	  347.40
UGC06930   	 7	 18.00	32.0	  8.932	 3.94	  189.16
UGC06973   	 2	 18.00	71.0	 53.870	 1.07	12730.05
UGC06983   	 6	 18.00	49.0	  5.298	 3.21	  121.57
UGC07089   	 8	 18.00	80.0	  3.585	 2.26	  520.99
UGC07125   	 9	 19.80	90.0	  2.712	 3.38	  103.00
UGC07151   	 6	  6.87	90.0	  2.284	 1.25	  965.67
UGC07232   	10	  2.83	59.0	  0.113	 0.29	  227.42
UGC07261   	 8	 13.10	30.0	  1.753	 1.20	  566.02
UGC07323   	 8	  8.00	47.0	  4.109	 2.26	  283.68
UGC07399   	 8	  8.43	55.0	  1.156	 1.64	  135.78
UGC07524   	 9	  4.74	46.0	  2.436	 3.46	  106.86
UGC07559   	10	  4.97	61.0	  0.109	 0.58	   55.06
UGC07577   	10	  2.59	63.0	  0.045	 0.90	   54.55
UGC07603   	 7	  4.70	78.0	  0.376	 0.53	  520.99
UGC07608   	10	  8.21	25.0	  0.264	 1.50	   46.65
UGC07690   	10	  8.11	41.0	  0.858	 0.57	  395.21
UGC07866   	10	  4.57	44.0	  0.124	 0.61	   97.46
UGC08286   	 6	  6.50	90.0	  1.255	 1.05	 1488.78
UGC08490   	 9	  4.65	50.0	  1.017	 0.67	  576.54
UGC08550   	 7	  6.70	90.0	  0.289	 0.45	 1284.78
UGC08699   	 2	 39.30	73.0	 50.302	 3.09	 1370.35
UGC08837   	10	  7.21	80.0	  0.501	 1.72	   77.42
UGC09037   	 6	 83.60	65.0	 68.614	 4.28	  841.07
UGC09133   	 2	 57.10	53.0	282.926	 6.97	  864.63
UGC09992   	10	 10.70	30.0	  0.336	 1.04	   73.25
UGC10310   	 9	 15.20	34.0	  1.741	 1.80	  158.79
UGC11455   	 6	 78.60	90.0	374.322	 5.93	 9568.20
UGC11557   	 8	 24.20	30.0	 12.101	 2.75	  337.93
UGC11820   	 9	 18.10	45.0	  0.970	 2.08	   34.11
UGC11914   	 2	 16.90	31.0	150.028	 2.44	 3168.33
UGC12506   	 6	100.60	86.0	139.571	 7.38	 5608.28
UGC12632   	 9	  9.77	46.0	  1.301	 2.42	   66.81
UGC12732   	 9	 13.20	39.0	  1.667	 1.98	  120.46
UGCA281    	11	  5.68	67.0	  0.194	 1.72	   12.05
UGCA442    	 9	  4.35	64.0	  0.140	 1.18	  116.10
UGCA444    	10	  0.98	78.0	  0.012	 0.83	   22.74

